# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "3" "-t" "gene" "-g" "ID" "-a" "../Reference_Data/PlasmoDB-41_Pfalciparum3D7.gff" "-o" "vehicle_drug_feature_counts.txt" "-p" "vehicle_rep1.bam" "vehicle_rep2.bam" "drug_rep1.bam" "drug_rep2.bam" 
Geneid	Chr	Start	End	Strand	Length	vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1227400	Pf3D7_12_v3	1109151	1112669	-	3519	76	87	107	106
PF3D7_1126200	Pf3D7_11_v3	1023790	1024496	-	707	2295	2635	1542	1554
PF3D7_1242500	Pf3D7_12_v3	1798643	1799788	+	1146	121	47	50	67
PF3D7_0806700	Pf3D7_08_v3	354472	362396	+	7925	161	133	167	220
PF3D7_0303500	Pf3D7_03_v3	182731	189411	+	6681	75	51	90	97
PF3D7_0911100	Pf3D7_09_v3	504412	508130	+	3719	25	29	139	179
PF3D7_0422800	Pf3D7_04_v3	1042564	1044896	+	2333	69	102	46	49
PF3D7_0926300	Pf3D7_09_v3	1064752	1070317	+	5566	84	103	77	121
PF3D7_1215600	Pf3D7_12_v3	635035	635457	+	423	53	74	13	19
PF3D7_1436400	Pf3D7_14_v3	1484166	1488129	+	3964	11	9	2	4
PF3D7_0808700	Pf3D7_08_v3	440408	448062	+	7655	3	1	3	4
PF3D7_1444700	Pf3D7_14_v3	1841960	1842906	+	947	164	212	178	145
PF3D7_1209600	Pf3D7_12_v3	443680	444987	+	1308	9	14	9	13
PF3D7_0523800	Pf3D7_05_v3	990005	992059	+	2055	129	189	334	358
PF3D7_1459700	Pf3D7_14_v3	2444473	2446179	-	1707	197	222	173	210
PF3D7_1409000	Pf3D7_14_v3	353263	355141	-	1879	143	106	144	200
PF3D7_1028900	Pf3D7_10_v3	1184728	1185946	-	1219	11	15	14	13
PF3D7_1447100	Pf3D7_14_v3	1932421	1933200	-	780	163	227	294	317
PF3D7_1026000	Pf3D7_10_v3	1098455	1099882	-	1428	262	287	720	911
PF3D7_1366000	Pf3D7_13_v3	2635213	2635488	+	276	12	40	6	11
malmito_rna_RNA14	Pf_M76611	5508	5546	-	39	1	0	0	0
PF3D7_0919800	Pf3D7_09_v3	804417	807920	-	3504	174	188	257	280
PF3D7_0205000	Pf3D7_02_v3	212982	214508	-	1527	22	25	23	22
PF3D7_1354200	Pf3D7_13_v3	2160318	2162729	-	2412	109	83	66	63
PF3D7_0610800	Pf3D7_06_v3	453671	455689	+	2019	1520	1488	1129	1189
PF3D7_1353200	Pf3D7_13_v3	2130531	2131065	+	535	38	23	192	211
PF3D7_0700300	Pf3D7_07_v3	33585	34804	-	1220	3	0	2	1
PF3D7_0914300	Pf3D7_09_v3	612976	615492	-	2517	83	81	60	96
PF3D7_1005200	Pf3D7_10_v3	232422	232818	-	397	1	1	0	1
PF3D7_0605000	Pf3D7_06_v3	213558	214142	+	585	108	121	150	189
PF3D7_0410900	Pf3D7_04_v3	490442	493375	-	2934	48	49	70	78
PF3D7_1113700	Pf3D7_11_v3	529493	530563	+	1071	218	125	93	118
PF3D7_1108800	Pf3D7_11_v3	377740	378396	+	657	1	0	0	0
PF3D7_1129400	Pf3D7_11_v3	1138075	1139979	-	1905	282	257	373	458
PF3D7_1215000	Pf3D7_12_v3	621125	621775	+	651	96	98	86	97
PF3D7_0607000	Pf3D7_06_v3	293864	296797	+	2934	1513	1256	2142	2835
PF3D7_0519600	Pf3D7_05_v3	812648	814915	+	2268	219	194	197	223
PF3D7_1460600	Pf3D7_14_v3	2473758	2474204	+	447	16	16	30	20
PF3D7_1321700	Pf3D7_13_v3	902383	905166	+	2784	425	498	486	522
PF3D7_0820000	Pf3D7_08_v3	900742	907714	-	6973	307	162	430	547
PF3D7_0623900	Pf3D7_06_v3	977183	978049	+	867	139	204	192	167
PF3D7_0311900	Pf3D7_03_v3	509291	511597	-	2307	78	98	61	86
PF3D7_1372900	Pf3D7_13_v3	2865893	2867226	+	1334	0	0	0	0
PF3D7_0905600	Pf3D7_09_v3	280207	284102	+	3896	2	2	0	1
PF3D7_1437700	Pf3D7_14_v3	1525564	1528485	-	2922	173	113	119	148
PF3D7_1307100	Pf3D7_13_v3	327893	330928	+	3036	97	50	146	198
PF3D7_0532400	Pf3D7_05_v3	1312471	1314154	+	1684	234	86	290	374
PF3D7_0527500	Pf3D7_05_v3	1143618	1145359	+	1742	2166	2024	1351	1468
PF3D7_1110300	Pf3D7_11_v3	410202	411355	-	1154	221	205	201	208
PF3D7_0620600	Pf3D7_06_v3	857726	858610	+	885	3	5	5	6
PF3D7_1214700	Pf3D7_12_v3	615636	616100	+	465	60	65	42	58
PF3D7_1413400	Pf3D7_14_v3	534057	535988	-	1932	93	173	156	153
PF3D7_1327000	Pf3D7_13_v3	1134070	1138040	-	3971	61	36	29	38
PF3D7_0716300	Pf3D7_07_v3	717281	718968	+	1688	1906	2089	1068	1246
PF3D7_1426600	Pf3D7_14_v3	1031065	1035360	-	4296	84	65	29	43
PF3D7_0210400	Pf3D7_02_v3	425689	426497	+	809	191	173	116	152
PF3D7_0920800	Pf3D7_09_v3	852525	854057	-	1533	396	276	476	502
PF3D7_1250000	Pf3D7_12_v3	2044120	2044626	+	507	204	279	276	303
PF3D7_1009200	Pf3D7_10_v3	374864	377611	+	2748	44	31	42	30
PF3D7_1418500	Pf3D7_14_v3	779377	779495	+	119	0	0	0	0
PF3D7_0921900	Pf3D7_09_v3	888559	889305	+	747	476	689	764	702
PF3D7_1463300	Pf3D7_14_v3	2572988	2574607	+	1620	103	99	51	47
PF3D7_0318400	Pf3D7_03_v3	761693	765439	-	3747	1	4	0	2
PF3D7_1321100	Pf3D7_13_v3	861442	872332	-	10891	75	37	46	44
PF3D7_1252900	Pf3D7_12_v3	2162707	2163145	-	439	4	3	8	13
PF3D7_1361300	Pf3D7_13_v3	2462069	2463784	+	1716	1	4	0	2
PF3D7_1244800	Pf3D7_12_v3	1873194	1875287	-	2094	614	691	847	925
PF3D7_1020100	Pf3D7_10_v3	814352	814957	-	606	0	1	0	0
PF3D7_0525000	Pf3D7_05_v3	1036229	1038343	+	2115	173	154	1078	1270
PF3D7_0622600	Pf3D7_06_v3	914743	915429	+	687	165	255	135	138
PF3D7_0732500	Pf3D7_07_v3	1402623	1403978	-	1356	0	0	1	0
PF3D7_0207000	Pf3D7_02_v3	277494	278456	-	963	1101	1110	920	996
PF3D7_1335300	Pf3D7_13_v3	1428874	1438852	-	9979	13	9	36	34
PF3D7_0412300	Pf3D7_04_v3	543625	545247	+	1623	42	33	16	26
PF3D7_1433400	Pf3D7_14_v3	1312304	1329577	-	17274	772	557	458	531
PF3D7_1006900	Pf3D7_10_v3	281459	283104	+	1646	218	366	406	414
PF3D7_1473600	Pf3D7_14_v3	2997600	2997944	-	345	31	40	16	24
PF3D7_1014800	Pf3D7_10_v3	596497	600413	-	3917	29	24	16	12
PF3D7_1471900	Pf3D7_14_v3	2933162	2939779	-	6618	51	47	56	95
PF3D7_1026600	Pf3D7_10_v3	1113495	1118573	-	5079	47	47	136	218
PF3D7_0107600	Pf3D7_01_v3	314618	319405	+	4788	2	1	2	4
PF3D7_0922100	Pf3D7_09_v3	895415	900304	+	4890	491	385	444	565
PF3D7_1471000	Pf3D7_14_v3	2902134	2903537	+	1404	112	67	154	219
PF3D7_1429200	Pf3D7_14_v3	1144518	1148078	-	3561	3	6	113	155
PF3D7_0800100	Pf3D7_08_v3	21361	28653	+	7293	5	0	3	3
PF3D7_1416400	Pf3D7_14_v3	661098	665098	-	4001	6	9	5	13
PF3D7_0516200	Pf3D7_05_v3	675809	676614	-	806	1202	1321	877	858
PF3D7_1029600	Pf3D7_10_v3	1206302	1207405	+	1104	8832	10118	2473	2715
PF3D7_0517100	Pf3D7_05_v3	718425	719855	-	1431	66	69	25	25
PF3D7_1125200	Pf3D7_11_v3	989159	990301	-	1143	113	131	147	182
PF3D7_0520800	Pf3D7_05_v3	849862	856026	-	6165	144	124	128	166
PF3D7_1114800	Pf3D7_11_v3	558924	561032	-	2109	31	41	24	44
PF3D7_0805600	Pf3D7_08_v3	312034	312960	+	927	298	301	199	223
PF3D7_1242600	Pf3D7_12_v3	1800562	1802310	+	1749	53	58	66	78
PF3D7_0313500	Pf3D7_03_v3	548718	551453	+	2736	30	29	15	15
PF3D7_1320900	Pf3D7_13_v3	857147	857944	-	798	103	100	92	111
PF3D7_1209900	Pf3D7_12_v3	448772	451339	-	2568	128	111	95	132
PF3D7_1310700	Pf3D7_13_v3	468232	468663	-	432	78	143	263	268
PF3D7_1302400	Pf3D7_13_v3	129717	131086	-	1370	1	5	0	0
PF3D7_1300100	Pf3D7_13_v3	21364	28787	+	7424	26	15	18	18
PF3D7_1448000	Pf3D7_14_v3	1960033	1963962	-	3930	147	123	119	117
PF3D7_0614200	Pf3D7_06_v3	593172	595904	-	2733	44	60	26	30
PF3D7_1221900	Pf3D7_12_v3	872361	874940	-	2580	23	17	133	161
mal_mito_1	Pf_M76611	734	1521	-	788	52	105	13	12
PF3D7_0322900	Pf3D7_03_v3	965553	966502	-	950	2421	2695	1244	1278
PF3D7_0934100	Pf3D7_09_v3	1343385	1346555	+	3171	217	330	230	223
PF3D7_0918100	Pf3D7_09_v3	747173	748490	+	1318	280	341	224	237
PF3D7_1018100	Pf3D7_10_v3	720551	721399	+	849	4	14	2	2
PF3D7_1019400	Pf3D7_10_v3	786503	787008	+	506	1194	1502	616	676
PF3D7_1211200	Pf3D7_12_v3	491893	497388	-	5496	49	64	48	51
PF3D7_0518300	Pf3D7_05_v3	759831	760998	-	1168	1203	1522	964	1043
PF3D7_1023200	Pf3D7_10_v3	982231	983202	+	972	144	142	112	154
PF3D7_1222300	Pf3D7_12_v3	883567	886032	-	2466	1950	1807	2120	2756
PF3D7_0518400	Pf3D7_05_v3	762103	762792	-	690	6	5	1	3
PF3D7_1009400	Pf3D7_10_v3	381361	382449	+	1089	190	198	295	278
PF3D7_0630000	Pf3D7_06_v3	1252052	1253985	-	1934	0	1	0	0
PF3D7_1320100	Pf3D7_13_v3	834180	835308	-	1129	96	143	153	132
PF3D7_1100700	Pf3D7_11_v3	56792	57840	+	1049	0	0	0	0
PF3D7_1302200	Pf3D7_13_v3	123726	124415	-	690	1	0	12	9
PF3D7_1221300	Pf3D7_12_v3	851012	854739	-	3728	221	195	297	354
PF3D7_0616800	Pf3D7_06_v3	695929	697494	+	1566	194	267	327	363
PF3D7_1429700	Pf3D7_14_v3	1168236	1169336	-	1101	479	776	525	536
PF3D7_1441700	Pf3D7_14_v3	1700674	1702050	+	1377	19	29	39	30
PF3D7_0415300	Pf3D7_04_v3	681810	685968	+	4159	569	377	414	642
PF3D7_0806800	Pf3D7_08_v3	363260	366421	-	3162	968	898	683	781
PF3D7_1119300	Pf3D7_11_v3	724855	725739	-	885	281	303	276	294
PF3D7_0222900	Pf3D7_02_v3	901494	902853	+	1360	0	0	0	0
PF3D7_0105800	Pf3D7_01_v3	249231	252010	-	2780	455	491	408	453
PF3D7_0526600	Pf3D7_05_v3	1101203	1114777	+	13575	59	37	294	378
PF3D7_1423800	Pf3D7_14_v3	967563	972311	+	4749	127	102	149	210
PF3D7_0822100	Pf3D7_08_v3	981018	981722	-	705	68	70	49	43
PF3D7_0924100	Pf3D7_09_v3	977869	979965	-	2097	27	35	58	68
PF3D7_0918400	Pf3D7_09_v3	754297	760269	+	5973	116	212	19	34
PF3D7_1441000	Pf3D7_14_v3	1669980	1671650	-	1671	48	34	22	27
PF3D7_1015100	Pf3D7_10_v3	612685	613875	-	1191	100	68	78	116
PF3D7_0322400	Pf3D7_03_v3	942545	945301	+	2757	137	154	138	269
PF3D7_0507500	Pf3D7_05_v3	307490	309556	-	2067	51	107	214	241
PF3D7_0521100	Pf3D7_05_v3	861930	867583	-	5654	10	13	3	5
PF3D7_1254400	Pf3D7_12_v3	2214671	2216019	+	1349	0	0	0	1
PF3D7_1107400	Pf3D7_11_v3	317819	318871	-	1053	189	253	304	304
PF3D7_0810800	Pf3D7_08_v3	548200	550616	+	2417	212	163	121	155
PF3D7_0830900	Pf3D7_08_v3	1317600	1318341	-	742	35	33	186	269
PF3D7_1438000	Pf3D7_14_v3	1536484	1538469	-	1986	552	527	450	519
PF3D7_0832100	Pf3D7_08_v3	1386625	1387882	-	1258	6	9	94	110
PF3D7_0937200	Pf3D7_09_v3	1471851	1472924	+	1074	0	0	0	0
PF3D7_1471800	Pf3D7_14_v3	2932023	2932787	+	765	16	28	24	25
PF3D7_1454200	Pf3D7_14_v3	2222490	2226704	-	4215	27	12	12	17
PF3D7_1348600	Pf3D7_13_v3	1953304	1954852	+	1549	52	53	30	49
PF3D7_1203700	Pf3D7_12_v3	187146	188842	-	1697	2770	3016	2376	2683
PF3D7_1247300	Pf3D7_12_v3	1952568	1954624	+	2057	266	295	152	178
PF3D7_0601300	Pf3D7_06_v3	48874	49722	-	849	0	0	0	0
PF3D7_1113100	Pf3D7_11_v3	511105	511761	-	657	479	748	860	885
PF3D7_0928800	Pf3D7_09_v3	1156247	1158709	+	2463	100	96	97	97
PF3D7_1033200	Pf3D7_10_v3	1335222	1336289	+	1068	401	315	361	348
PF3D7_0702500	Pf3D7_07_v3	104957	105989	-	1033	218	197	1105	1358
PF3D7_1362200	Pf3D7_13_v3	2490386	2491837	-	1452	155	189	362	382
PF3D7_1113300	Pf3D7_11_v3	519189	520220	+	1032	484	872	171	161
PF3D7_1138500	Pf3D7_11_v3	1518464	1521238	+	2775	443	357	507	580
PF3D7_1421900	Pf3D7_14_v3	891140	891622	-	483	504	706	481	511
PF3D7_1421200	Pf3D7_14_v3	875687	876385	-	699	1689	2095	845	882
PF3D7_1443800	Pf3D7_14_v3	1794708	1795934	-	1227	111	99	113	156
PF3D7_0100200	Pf3D7_01_v3	38982	40207	-	1226	3	0	1	2
PF3D7_0406000	Pf3D7_04_v3	321019	322545	+	1527	238	396	446	471
PF3D7_1408300	Pf3D7_14_v3	312569	313296	+	728	4	1	2	2
PF3D7_0816300	Pf3D7_08_v3	751942	756173	-	4232	25	14	7	21
PF3D7_1352200	Pf3D7_13_v3	2080764	2083152	+	2389	135	127	216	274
PF3D7_1122100	Pf3D7_11_v3	840728	842450	-	1723	94	89	24	51
malmito_rna_SSUF	Pf_M76611	5447	5507	-	61	1	2	0	0
PF3D7_0508200	Pf3D7_05_v3	337426	339025	-	1600	191	277	185	166
PF3D7_1320200	Pf3D7_13_v3	836563	838446	+	1884	67	95	71	62
PF3D7_1121600	Pf3D7_11_v3	815386	816322	-	937	3867	4714	4251	4383
PF3D7_1231400	Pf3D7_12_v3	1290685	1297069	-	6385	19	20	12	22
PF3D7_1216500	Pf3D7_12_v3	657339	658004	-	666	48	74	61	74
PF3D7_0532100	Pf3D7_05_v3	1301224	1301769	+	546	7128	4400	4359	4344
PF3D7_1412500	Pf3D7_14_v3	507360	508868	+	1509	114	60	352	412
PF3D7_1322000	Pf3D7_13_v3	916360	918594	+	2235	449	739	570	589
PF3D7_1002900	Pf3D7_10_v3	138765	139853	+	1089	269	307	221	225
PF3D7_1001200	Pf3D7_10_v3	70547	70819	-	273	1173	1597	374	369
PF3D7_1308100	Pf3D7_13_v3	360169	360627	+	459	117	118	107	90
PF3D7_0806300	Pf3D7_08_v3	337902	343254	-	5353	174	210	200	189
PF3D7_1249300	Pf3D7_12_v3	2012643	2015726	+	3084	232	216	257	300
PF3D7_1027000	Pf3D7_10_v3	1126523	1131958	-	5436	27	18	58	88
PF3D7_0816000	Pf3D7_08_v3	746013	747488	-	1476	187	211	328	408
PF3D7_0318700	Pf3D7_03_v3	788453	788812	+	360	3	3	17	16
PF3D7_0104500	Pf3D7_01_v3	204622	205455	-	834	215	187	107	129
PF3D7_0910600	Pf3D7_09_v3	489467	490865	+	1399	63	76	66	98
PF3D7_1249600	Pf3D7_12_v3	2018995	2022007	-	3013	45	36	36	42
PF3D7_0402200	Pf3D7_04_v3	127712	134468	-	6757	13	9	26	48
PF3D7_0504700	Pf3D7_05_v3	180421	187470	+	7050	104	117	232	272
PF3D7_0305200	Pf3D7_03_v3	251242	254661	+	3420	97	80	102	129
PF3D7_0727800	Pf3D7_07_v3	1175944	1181700	+	5757	284	226	147	189
PF3D7_0607100	Pf3D7_06_v3	297941	301197	+	3257	2	7	5	1
PF3D7_1338100	Pf3D7_13_v3	1542080	1543981	+	1902	1389	1487	1362	1409
PF3D7_0502800	Pf3D7_05_v3	122449	122862	+	414	27	23	12	28
PF3D7_0705900	Pf3D7_07_v3	290100	291220	-	1121	571	926	327	349
PF3D7_1407200	Pf3D7_14_v3	261061	262099	-	1039	50	70	100	130
PF3D7_0524900	Pf3D7_05_v3	1027396	1030362	+	2967	147	111	350	455
PF3D7_1216400	Pf3D7_12_v3	653670	656435	+	2766	161	155	157	180
PF3D7_0308700	Pf3D7_03_v3	375806	377437	+	1632	22	33	37	37
PF3D7_1132400	Pf3D7_11_v3	1255286	1259671	-	4386	191	210	184	201
PF3D7_1241200	Pf3D7_12_v3	1748873	1756237	-	7365	145	87	59	87
PF3D7_0611100	Pf3D7_06_v3	466198	466449	-	252	76	94	39	50
PF3D7_1332000	Pf3D7_13_v3	1325913	1327532	-	1620	197	268	219	210
PF3D7_0531200	Pf3D7_05_v3	1279958	1280599	-	642	23	25	14	19
PF3D7_1124400	Pf3D7_11_v3	964675	965360	-	686	104	147	106	108
PF3D7_0804300	Pf3D7_08_v3	242103	244775	+	2673	25	26	56	85
PF3D7_0928000	Pf3D7_09_v3	1135545	1136391	+	847	288	380	396	446
PF3D7_0526800	Pf3D7_05_v3	1120704	1121810	-	1107	348	249	250	323
PF3D7_0617300	Pf3D7_06_v3	720535	721312	+	778	60	99	139	149
PF3D7_1445600	Pf3D7_14_v3	1871778	1874381	+	2604	386	560	215	260
PF3D7_0424700	Pf3D7_04_v3	1118430	1122414	+	3985	8	5	163	181
PF3D7_0632700	Pf3D7_06_v3	1371501	1372861	+	1361	2	0	2	2
PF3D7_1131000	Pf3D7_11_v3	1194524	1195036	-	513	67	73	47	54
PF3D7_1461800	Pf3D7_14_v3	2504149	2512505	+	8357	4	1	64	122
PF3D7_1208800	Pf3D7_12_v3	405608	409150	-	3543	91	98	135	184
PF3D7_1442200	Pf3D7_14_v3	1708528	1711530	-	3003	78	84	64	131
PF3D7_1349400	Pf3D7_13_v3	1983823	1985011	+	1189	102	79	50	75
PF3D7_1039900	Pf3D7_10_v3	1596487	1597605	+	1119	3	1	0	2
PF3D7_1018600	Pf3D7_10_v3	737692	743406	-	5715	253	202	122	143
PF3D7_0111700	Pf3D7_01_v3	443585	443938	-	354	1	0	0	0
PF3D7_0727900	Pf3D7_07_v3	1184401	1190172	+	5772	6	7	14	16
PF3D7_API06700	Pf3D7_API_v3	31447	34138	+	2692	0	0	0	0
PF3D7_1002700	Pf3D7_10_v3	129276	132110	+	2835	119	117	126	180
PF3D7_1124600	Pf3D7_11_v3	970105	971376	-	1272	1283	1151	1308	1358
PF3D7_0701900	Pf3D7_07_v3	79890	82943	-	3054	0	6	54	72
PF3D7_1424700	Pf3D7_14_v3	981588	981671	+	84	0	0	0	0
PF3D7_0417600	Pf3D7_04_v3	780250	783246	-	2997	19	22	12	24
PF3D7_0903700	Pf3D7_09_v3	175542	177442	+	1901	686	821	666	741
PF3D7_1418100	Pf3D7_14_v3	762614	773407	-	10794	4	5	3	7
PF3D7_0628100	Pf3D7_06_v3	1122801	1153664	-	30864	98	66	88	106
PF3D7_1309300	Pf3D7_13_v3	427457	429643	-	2187	377	314	225	296
PF3D7_0710400	Pf3D7_07_v3	474623	475720	+	1098	40	33	49	50
PF3D7_0900700	Pf3D7_09_v3	49612	50971	-	1360	0	2	0	0
PF3D7_1474400	Pf3D7_14_v3	3044129	3055248	+	11120	50	32	58	87
PF3D7_1451200	Pf3D7_14_v3	2094340	2099736	-	5397	688	571	802	1193
PF3D7_1455200	Pf3D7_14_v3	2255062	2256741	+	1680	223	201	232	237
PF3D7_1139500	Pf3D7_11_v3	1576132	1578978	-	2847	12	4	3	9
PF3D7_0703300	Pf3D7_07_v3	128540	128980	+	441	94	126	72	87
PF3D7_1411500	Pf3D7_14_v3	468976	472016	+	3041	62	51	98	147
PF3D7_0214600	Pf3D7_02_v3	594196	599340	+	5145	27	28	141	142
PF3D7_1232500	Pf3D7_12_v3	1339845	1343314	-	3470	109	125	203	205
PF3D7_1217400	Pf3D7_12_v3	686307	688871	-	2565	60	79	56	64
PF3D7_1213500	Pf3D7_12_v3	583089	585323	+	2235	15	36	3	5
PF3D7_1229900	Pf3D7_12_v3	1228063	1233005	-	4943	145	176	98	88
PF3D7_0913400	Pf3D7_09_v3	580760	581468	-	709	58	69	51	66
PF3D7_0527800	Pf3D7_05_v3	1151227	1151309	-	83	0	0	0	0
PF3D7_0107900	Pf3D7_01_v3	326397	327224	-	828	80	74	51	52
PF3D7_1439200	Pf3D7_14_v3	1588952	1593131	+	4180	31	25	19	23
PF3D7_0934300	Pf3D7_09_v3	1348022	1348459	+	438	71	82	35	43
PF3D7_0203200	Pf3D7_02_v3	158137	159660	-	1524	66	37	35	47
PF3D7_0616100	Pf3D7_06_v3	672119	672754	+	636	31	61	63	77
PF3D7_1109700	Pf3D7_11_v3	392510	392712	-	203	0	0	0	0
PF3D7_0805000	Pf3D7_08_v3	283066	284522	-	1457	120	131	129	118
PF3D7_1465200	Pf3D7_14_v3	2640872	2642002	-	1131	203	144	136	147
PF3D7_1027100	Pf3D7_10_v3	1133838	1136156	-	2319	88	78	153	213
PF3D7_0514900	Pf3D7_05_v3	618629	619945	+	1317	129	203	155	180
PF3D7_1408700	Pf3D7_14_v3	324754	346468	-	21715	282	172	286	302
PF3D7_1142500	Pf3D7_11_v3	1705696	1706573	-	878	850	1030	338	367
PF3D7_1121800	Pf3D7_11_v3	823239	829313	-	6075	0	0	0	3
PF3D7_1245000	Pf3D7_12_v3	1880036	1881406	-	1371	24	19	19	21
PF3D7_1203600	Pf3D7_12_v3	184914	185768	+	855	50	71	105	123
PF3D7_0415700	Pf3D7_04_v3	691131	692516	-	1386	29	38	21	28
PF3D7_0609500	Pf3D7_06_v3	402722	407242	+	4521	23	17	9	7
PF3D7_1135900	Pf3D7_11_v3	1398486	1400601	-	2116	944	1677	900	905
PF3D7_0105000	Pf3D7_01_v3	218894	219223	-	330	33	32	42	57
PF3D7_1316800	Pf3D7_13_v3	698218	699922	-	1705	236	194	229	267
PF3D7_0717500	Pf3D7_07_v3	755763	757696	+	1934	274	251	262	337
PF3D7_0928400	Pf3D7_09_v3	1145364	1146038	+	675	70	117	111	146
PF3D7_1369300	Pf3D7_13_v3	2756529	2757997	-	1469	1	3	5	8
PF3D7_1031900	Pf3D7_10_v3	1284588	1287287	-	2700	9	13	14	12
PF3D7_0529200	Pf3D7_05_v3	1192973	1195332	+	2360	27	46	16	13
PF3D7_1405100	Pf3D7_14_v3	175503	179705	-	4203	70	61	133	165
PF3D7_1134700	Pf3D7_11_v3	1359364	1364113	-	4750	152	122	291	354
PF3D7_1442100	Pf3D7_14_v3	1706520	1707512	-	993	144	164	101	120
